step1,step2,step3,step4,total_duration,from_edge,to_edge
sayat_nova_1-,charents_2-,sayat_nova_1,sayat_nova_2,396,809719540#0,714011134#0
sayat_nova_1-,charents_2-,sayat_nova_1,alek_manukyan_2,437,809719540#0,186410975#0
sayat_nova_1-,charents_2-,sayat_nova_1,alek_manukyan_1-,479,809719540#0,1254157399#1
charents_1,charents_2,koryun_1,koryun_2,318,1253222187#0,380593307#0
charents_1,charents_2,koryun_1,abovyan_1-,323,1253222187#0,136617981
charents_1,sayat_nova_1,sayat_nova_2,sayat_nova_3,300,1253222187#0,134194079#0
charents_1,sayat_nova_1,sayat_nova_2,khanjyan_1,327,1253222187#0,189240000#0-AddedOnRampEdge
charents_1,sayat_nova_1,sayat_nova_2,khanjyan_2-,332,1253222187#0,138000492#0
charents_1,sayat_nova_1,alek_manukyan_2,heratsi_2,477,1253222187#0,380585336
charents_1,sayat_nova_1,alek_manukyan_2,isahakyan_1,401,1253222187#0,430416184
charents_1,sayat_nova_1,alek_manukyan_2,charents_2-,382,1253222187#0,683079387#1
charents_2,koryun_1,koryun_2,koryun_3,243,683079388#0,380585337#0
charents_2,koryun_1,koryun_2,teryan_1-,268,683079388#0,138002016#0
charents_2,koryun_1,koryun_2,teryan_2,249,683079388#0,-138002002#2
charents_2-,sayat_nova_1,sayat_nova_2,sayat_nova_3,256,683079387#1,134194079#0
charents_2-,sayat_nova_1,sayat_nova_2,khanjyan_1,283,683079387#1,189240000#0-AddedOnRampEdge
charents_2-,sayat_nova_1,sayat_nova_2,khanjyan_2-,288,683079387#1,138000492#0
charents_2-,sayat_nova_1,alek_manukyan_2,heratsi_2,433,683079387#1,380585336
charents_2-,sayat_nova_1,alek_manukyan_2,isahakyan_1,357,683079387#1,430416184
alek_manukyan_2,isahakyan_1,isahakyan_2,isahakyan_3,245,186410975#0,380351865#0
alek_manukyan_2,isahakyan_1,isahakyan_2,teryan_3,231,186410975#0,-138002006#3
alek_manukyan_2,isahakyan_1,isahakyan_2,teryan_2-,265,186410975#0,1369578052#0
alek_manukyan_2,isahakyan_1,abovyan_2-,abovyan_1-,304,186410975#0,136617981
alek_manukyan_2,isahakyan_1,abovyan_2-,koryun_1-,248,186410975#0,133000063
alek_manukyan_2,isahakyan_1,abovyan_3,abovyan_4,376,186410975#0,791826085
alek_manukyan_2,isahakyan_1,abovyan_3,moskovyan_4,373,186410975#0,1341093416#0
alek_manukyan_2,charents_2-,sayat_nova_1,sayat_nova_2,297,186410975#0,714011134#0
alek_manukyan_2,charents_2-,sayat_nova_1,alek_manukyan_1-,380,186410975#0,1254157399#1
alek_manukyan_1,alek_manukyan_2,isahakyan_1,isahakyan_2,378,31861355#0,186407685
alek_manukyan_1,alek_manukyan_2,isahakyan_1,abovyan_2-,386,31861355#0,1091883842
alek_manukyan_1,alek_manukyan_2,isahakyan_1,abovyan_3,518,31861355#0,186407684#0
alek_manukyan_1,alek_manukyan_2,charents_2-,charents_1-,470,31861355#0,-809772643#1
alek_manukyan_1,alek_manukyan_2,charents_2-,sayat_nova_1,421,31861355#0,1310781056
alek_manukyan_1,sayat_nova_2,sayat_nova_3,sayat_nova_4,322,31861355#0,1328664744#0
alek_manukyan_1,sayat_nova_2,sayat_nova_3,nalbandyan_3-,321,31861355#0,1253188486#8
alek_manukyan_1,sayat_nova_2,khanjyan_1,nalbandyan_2-,297,31861355#0,1254519229#0
alek_manukyan_1,sayat_nova_2,khanjyan_1,nalbandyan_3,346,31861355#0,1254519225#0.109
alek_manukyan_1,sayat_nova_1-,charents_2-,charents_1-,531,31861355#0,-809772643#1
alek_manukyan_1,sayat_nova_1-,charents_2-,sayat_nova_1,482,31861355#0,1310781056
